Year,Fips,Data
2009,27009,12.2
2009,27011,11.6
2009,27013,17.5
2009,27015,11.4
2009,27017,10.5
2009,27019,5
2009,27021,14
2009,27023,9.9
2009,27025,7.8
2009,27027,13
2009,27029,16.6
2009,27031,10.1
2009,27033,10.2
2009,27035,14.3
2009,27037,6.1
2009,27039,7.1
2009,27041,11.2
2009,27043,13.2
2009,27045,12.7
2009,27047,10.9
2009,27049,7.5
2009,27051,10.6
2009,27053,11.9
2009,27055,8.6
2009,27057,12.9
2009,27059,9
2009,27061,13.6
2009,27063,10.8
2009,27065,11.1
2009,27067,11.3
2009,27069,10
2009,27071,12.9
2009,27073,8.8
2009,27075,11.4
2009,27077,11.7
2009,27079,8.4
2009,27081,9.2
2009,27083,11.7
2009,27085,8
2009,27087,19.7
2009,27089,9.7
2009,27091,11.2
2009,27093,9.2
2009,27095,13.4
2009,27097,13.7
2009,27099,13.6
2009,27101,10.2
2009,27103,9.1
2009,27105,12.1
2009,27107,14
2009,27109,7.6
2009,27111,12.8
2009,27113,13
2009,27115,18.9
2009,27117,10.6
2009,27119,12.2
2009,27121,9.9
2009,27123,16.4
2009,27125,11.1
2009,27127,10
2009,27129,10.7
2009,27131,11.8
2009,27133,9.2
2009,27135,8.4
2009,27137,16.4
2009,27139,4.8
2009,27141,7.1
2009,27143,10.5
2009,27145,12.5
2009,27147,7.7
2009,27149,12.1
2009,27151,11.4
2009,27153,14.7
2009,27155,12
2009,27157,8.3
2009,27159,16
2009,27161,8.5
2009,27163,5.7
2009,27165,11.3
2009,27167,9.1
